"STATION","NAME","DATE","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-07","0.55"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-08","1.48"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-09","2.01"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-10","1.59"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-11","2.08"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1965-12","1.73"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-01","5.30"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-02","3.48"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-03","1.98"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-04","1.24"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-05","2.66"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-06","3.40"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-07","3.21"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-08","1.26"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-09","3.42"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-10","2.62"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-11","4.43"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1966-12","3.04"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-01","2.28"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-02","4.05"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-03","4.68"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-04","4.83"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1967-05","7.31"
